,Water_100kVp_1FBP_3mm,Water_120kVp_2Safire_3mm,Water_100kVp_2Safire_3mm,Water_100kVp_1Safire_0-6mm,Water_100kVp_1Safire_3mm,Water_100kVp_2FBP_1-5mm,Water_120kVp_1Safire_3mm,Water_120kVp_1FBP_1-5mm,Water_120kVp_1Safire_0-6mm,Water_120kVp_1FBP_0-6mm,Water_120kVp_1Safire_1-5mm,Water_100kVp_2FBP_0-6mm,Water_100kVp_1Safire_1-5mm,Water_120kVp_2FBP_3mm,Water_120kVp_2FBP_0-6mm,Water_100kVp_1FBP_0-6mm,Water_120kVp_2Safire_0-6mm,Water_120kVp_1FBP_3mm,Water_100kVp_2Safire_0-6mm,Water_100kVp_2Safire_1-5mm,Water_100kVp_1FBP_1-5mm,Water_100kVp_2FBP_3mm,Water_120kVp_2Safire_1-5mm,Water_120kVp_2FBP_1-5mm
original_glcm_Idn,0.9074161372031863,0.9147372874069135,0.9098678924676686,0.9140967295417884,0.9215582113174903,0.9012353232957753,0.9265275460806882,0.9006966440951714,0.9186233594055044,0.9058902607525113,0.9175595776029533,0.8965886706162197,0.9144611485363107,0.9023397767497118,0.8918549604504727,0.9003791339304319,0.9179054063215139,0.9055854532567893,0.9133144892236632,0.9103619834230925,0.9047200254438698,0.8962056553193042,0.9153466926109444,0.9084830080409847
original_glcm_Imc1,-0.03614119380599872,-0.04037761334958711,-0.04173708829745577,-0.01624593630757016,-0.031034141515294465,-0.02136618650051513,-0.03580889323703059,-0.021521597654526478,-0.01602856181268668,-0.014389676370638036,-0.024986483747724293,-0.015566546347187484,-0.027065477124648442,-0.040134562706442674,-0.016799764677457703,-0.014925551666346182,-0.015936077486794636,-0.03483132460966251,-0.016879059909113155,-0.022909104246506093,-0.02491044308927378,-0.042933755034407564,-0.024103682289966195,-0.022602357264660502
original_glcm_Imc2,0.39931941271053745,0.3697256360330423,0.3927711025187875,0.2842588505829967,0.3246037330913237,0.33127006783160906,0.3384970408631393,0.321270855426167,0.2749905281715085,0.29473391855988645,0.30246671011579107,0.31674752308056114,0.3335989344750207,0.41434919487670885,0.32929562205550955,0.308316718008239,0.2738447422208759,0.3794192883265691,0.29240364288516374,0.2952200527643749,0.36313200863563283,0.4401884682998384,0.2991621319231472,0.33508990967812363
original_glcm_InverseVariance,0.43993480021967774,0.504789695475199,0.48865337970371375,0.3349097738789588,0.5135545336331179,0.36345314215916447,0.515768562364713,0.39219097927340396,0.3599761194924975,0.25533917533885114,0.4748219912235357,0.23447396895924624,0.4511029293955927,0.4632916899655445,0.24355929627141462,0.23687970795954927,0.35539181151786037,0.4684551943734727,0.33385382508918965,0.46057452155089884,0.36422474297241414,0.42778096025981155,0.47323977035234716,0.3836655848709936
original_glcm_JointAverage,7.605729933562637,5.621323939518191,5.549160090894489,12.431539102761052,5.595136660751615,9.458471199250718,5.506771797032958,8.519264067089155,11.538717721671988,15.557469327238396,7.506339601125964,16.47826211129548,7.523947778917233,6.6219304100976,15.530349321449808,15.429879956052256,12.506022285156202,6.50822486146552,13.468301970539498,6.461968242790561,10.52172676054127,6.543225020909558,8.538093570182438,10.534593884836012
original_glcm_JointEnergy,0.038614603763640704,0.08889125430601534,0.07238221143148336,0.014765049033200457,0.08052808635365821,0.019885825168620745,0.09775017405321516,0.023925029225350596,0.018084175735117704,0.007421971287418525,0.05115928376715883,0.005947281440092598,0.0418868036865042,0.041748524279108974,0.0065816626557767465,0.0061260561394928985,0.01758422439368957,0.04442188271033835,0.014336789418381261,0.044058108479052414,0.019310345903330375,0.03468634545034682,0.049156011409228845,0.022894302906782175
original_glcm_JointEntropy,5.133858906029632,3.944915559063802,4.276013471165634,6.5612128852201215,4.07797146878208,6.082197685321292,3.772748017414966,5.809543957954199,6.249313605570938,7.511300690894699,4.712563344943164,7.8359799551278675,5.056276679287702,4.988513809727383,7.686051517539255,7.804388350830838,6.283075093794098,4.871988387499089,6.589773261478445,4.9519153522586175,6.160584628224596,5.2974453084826045,4.794890014333077,5.882907196695741
original_glcm_MCC,0.2476564680072028,0.27551609078691786,0.2864638834049214,0.19847680545320817,0.2383828298695649,0.20291119835085553,0.262365147376588,0.24726896541522914,0.2604535750285703,0.18032288380292166,0.2900805198754473,0.189410299992243,0.23199464511320933,0.2831872665357562,0.1877960322433984,0.1828879158855753,0.3016469758414781,0.2610658154957171,0.22266175560046852,0.21504961046393067,0.2278020135275957,0.28966071480541367,0.22213445091496486,0.2363090209529504
original_glcm_MaximumProbability,0.08184071704876489,0.15676192238421263,0.1400841869274395,0.03087544952711294,0.1367611361106843,0.03976082655489436,0.16351838866238128,0.04623250369437338,0.03660543442616945,0.015401595155129035,0.09190434145740842,0.012599489482892596,0.08037085645238382,0.07773765693645261,0.014104511471968732,0.013289167314162714,0.0357015772133753,0.08637501796332582,0.028940912400744166,0.08173301568891124,0.04124550704182906,0.07100658597639845,0.08919906457030756,0.04607639214992987
original_glcm_SumAverage,15.211459867125276,11.242647879036381,11.09832018178898,24.863078205522104,11.19027332150323,18.916942398501437,11.013543594065917,17.038528134178307,23.077435443343987,31.11493865447679,15.01267920225193,32.95652422259096,15.047895557834467,13.243860820195202,31.060698642899606,30.8597599121045,25.01204457031241,13.01644972293104,26.936603941078996,12.923936485581121,21.043453521082537,13.086450041819113,17.076187140364876,21.069187769672023
original_glcm_SumEntropy,3.1879755025526983,2.6520136847149347,2.780736017854156,3.927861657662496,2.6688286798649554,3.658182088935395,2.555544372479176,3.5303802730777294,3.7672062057001576,4.384960479044165,3.0000445550195707,4.554968331703469,3.1815397798630283,3.1623921409510984,4.477546473610849,4.534493363012394,3.783951244843701,3.092162252680091,3.9474355431990125,3.1107290107514176,3.7161169565338574,3.278213994716082,3.044889695958709,3.574992108990427
original_glcm_SumSquares,2.230354607612792,0.9716955997660178,1.2315987743682544,5.753193583551328,1.0427100830437448,4.180164194690052,0.8419345629278082,3.439174500477835,4.6228881862644595,11.115568094924242,1.605182051288846,13.985233569324755,2.057184576808969,2.015237617077678,12.644604993281174,13.654659240837812,4.727164114306687,1.8359982980288823,5.8758808942618685,1.8951046312120812,4.452062519583792,2.5379603611051826,1.6985868845688614,3.624728692744164
original_gldm_DependenceEntropy,4.966120284441342,4.625453599349221,4.692500784978063,5.518708148386564,4.70966620487999,5.228796718471192,4.593393663969153,5.180832034899116,5.443416475396467,5.672171065185629,4.962408048316055,5.727309728497467,5.05424753404605,4.875619810206737,5.773127862297721,5.734974593837844,5.465558580101195,4.825477884927807,5.495482572125805,5.037888734206025,5.240661940890716,4.937086962443552,4.9742377616136,5.198742129785214
